Feat,Fold0,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9
pctg_inter_dep_cha,1,1,1,1,1,1,1,1,1,1
src_trgt_co_changed_nbr,1,1,1,1,1,1,1,1,1,1
dev_in_src_change_nbr,1,1,1,1,1,1,1,1,1,1
rev_in_src_change_nbr,1,1,1,1,1,1,1,0,0,0
num_shrd_desc_tkns,1,1,1,1,1,1,1,1,1,1
num_shrd_file_tkns,1,1,1,1,1,1,1,1,1,1
has_feature_addition_target,1,1,1,1,1,1,1,1,1,1
deletions_target,1,1,1,1,1,1,1,1,1,1
insertions_target,1,1,1,1,1,1,1,1,1,1
num_file_types_target,1,1,1,1,1,1,1,1,1,1
is_preventive_target,1,1,1,1,1,1,1,1,1,1
project_changes_owner_target,1,1,1,1,0,0,0,1,1,1
whole_changes_owner_target,0,0,1,1,1,1,1,1,1,1
is_refactoring_target,1,1,1,1,1,1,1,1,1,1
description_word_count_target,0,0,0,0,0,0,0,0,0,0
whole_within_project_changes_target,0,0,0,0,0,0,0,0,0,0
is_merge_target,1,1,1,1,1,1,1,1,1,1
num_directory_files_target,1,1,1,0,1,0,0,0,1,0
within_project_changes_target,0,0,0,0,0,0,0,0,0,0
is_corrective_target,1,1,1,1,1,1,1,1,1,1
description_length_target,1,1,1,1,1,1,1,1,1,1
num_file_changes_target,1,1,1,1,1,1,1,1,1,1
project_age_target,1,1,1,1,1,1,1,1,1,1
is_non_functional_target,1,1,1,1,1,1,1,1,1,1
within_project_changes_owner_target,0,0,0,0,0,0,0,0,0,0
num_dev_modified_files_target,0,0,0,0,0,0,0,0,0,0
avg_num_dev_modified_files_target,0,0,0,0,0,0,0,0,0,0
code_churn_target,0,0,0,0,0,0,0,0,0,0
last_mth_dep_proj_nbr_target,1,1,1,1,1,1,1,1,1,1
projects_contributed_owner_target,1,1,1,1,1,1,1,1,1,1
has_feature_addition_source,1,1,1,1,1,1,1,1,1,1
deletions_source,1,1,1,1,1,1,1,1,1,1
insertions_source,1,1,1,1,1,1,1,1,1,1
num_file_types_source,1,1,1,1,1,1,1,1,1,1
is_preventive_source,1,1,1,1,1,1,1,1,1,1
project_changes_owner_source,1,0,1,1,0,0,0,0,0,0
whole_changes_owner_source,0,0,1,1,1,1,1,1,1,1
is_refactoring_source,1,1,1,1,1,1,1,1,1,1
description_word_count_source,0,0,0,0,0,0,0,0,0,0
whole_within_project_changes_source,1,1,1,1,1,1,1,1,1,1
is_merge_source,1,1,1,1,1,1,1,1,1,1
num_directory_files_source,1,1,1,0,0,0,0,0,0,0
within_project_changes_source,0,0,0,0,0,0,0,0,0,0
is_corrective_source,1,1,1,1,1,1,1,1,1,1
description_length_source,1,1,1,1,1,1,1,1,1,1
num_file_changes_source,1,1,1,1,1,1,1,1,1,1
project_age_source,1,1,1,1,1,1,1,1,1,1
is_non_functional_source,1,1,1,1,1,1,1,1,1,1
within_project_changes_owner_source,0,0,0,0,0,0,0,0,0,0
num_dev_modified_files_source,0,0,0,0,0,0,0,0,0,0
avg_num_dev_modified_files_source,0,0,0,0,0,0,0,0,0,0
code_churn_source,0,0,0,0,0,0,0,0,0,0
last_mth_dep_proj_nbr_source,1,1,1,1,1,1,1,1,1,1
projects_contributed_owner_source,1,1,1,1,1,1,1,1,1,1
desc_sim,1,1,1,1,1,1,1,1,1,1
subject_sim,1,1,1,1,1,1,1,1,1,1
add_lines_sim,1,1,1,1,1,1,1,1,1,1
del_lines_sim,1,1,1,1,1,1,1,1,1,1
cross_project_changes_target,1,1,0,0,0,1,1,1,1,1
last_mth_cro_proj_nbr_target,1,1,1,1,1,1,1,1,1,1
cross_project_changes_owner_target,0,0,0,0,0,0,0,0,0,0
ratio_dep_chan_owner_target,1,1,1,1,1,1,1,1,1,1
cross_project_changes_source,0,0,0,0,1,0,1,1,1,1
last_mth_cro_proj_nbr_source,1,1,1,0,0,1,1,1,0,1
cross_project_changes_owner_source,1,1,1,1,1,1,1,1,1,1
ratio_dep_chan_owner_source,1,1,1,1,1,1,1,1,1,1
pctg_cross_project_changes_target,1,1,1,1,1,1,1,1,1,1
pctg_cross_project_changes_owner_target,1,1,1,1,1,1,1,1,1,1
pctg_cross_project_changes_source,1,1,1,1,1,1,1,1,1,1
pctg_cross_project_changes_owner_source,1,1,1,1,1,1,1,1,1,1
