Feature,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
project_changes_owner_target,113.89898940864796,126.5460655763648,140.13516233291682,158.08389525744818,172.27638231686615,,196.45997444587056,,,
whole_changes_owner_target,352.0,328.0,372.5,368.0,431.0,1715.8678215513278,484.0,1989.1398427423408,2073.8709116204545,2126.784262524594
cross_project_changes_owner_target,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
ptg_cross_project_changes_owner_target,0.0,0.0631399317406143,0.1428571428571428,0.170947728090157,0.2111111111111111,0.25,0.25,0.25,0.2758620689655172,0.2962962962962963
insertions_target,5.0,7.0,8.0,,9.0,,,8.0,9.0,9.0
code_churn_target,8.0,11.0,12.0,14.0,15.0,14.0,14.0,14.0,16.0,16.0
num_file_types_target,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_directory_files_target,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
project_changes_count_target,678.0,645.0,570.0,600.0,614.0,666.0,663.0,706.5,750.0,793.0
cross_project_changes_target,17.0,23.0,25.0,30.0,34.0,40.0,41.0,47.0,52.0,59.0
pctg_cross_project_changes_target,0.3846153846153846,0.3759480953189562,0.375,0.375,0.3846153846153846,0.391304347826087,0.3876288659793814,0.3846153846153846,0.3837638376383764,0.3825363825363825
pctg_whole_cross_project_changes_target,0.1579940854464229,0.191256319041378,0.2098632662467353,0.2146058147056412,0.2198772477656939,0.2217600932499735,0.2286433164263748,0.2311153662039253,0.2400350360097437,0.2466739939959645
project_age_target,674.9447453703704,668.7762037037037,693.5756365740741,735.1207060185185,774.8727199074074,836.6852256944444,844.0901851851852,879.6684953703704,951.2977662037038,1014.1271412037036
hist_dep_proj_nbr_target,22.0,23.0,24.0,26.0,29.0,31.0,31.0,34.0,,39.0
last_six_mth_dep_proj_nbr_target,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0
num_file_changes_target,21.0,21.0,21.0,22.0,22.0,20.0,20.0,21.0,22.0,23.0
num_recent_branch_files_changes_target,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
subject_length_target,36.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
is_non_functional_target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_feature_addition_target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_corrective_target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_merge_target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_preventive_target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_refactoring_target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
project_changes_owner_source,5.0,6.0,8.0,8.0,10.0,10.0,11.0,,,14.0
whole_changes_owner_source,321.0,348.0,383.0,386.0,445.0,444.0,496.0,501.0,502.0,533.0
cross_project_changes_owner_source,0.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0
ptg_cross_project_changes_owner_source,0.0,0.0909090909090909,0.1492874991558046,0.1891891891891892,0.25,0.288135593220339,0.2797849462365591,0.3076923076923077,0.3136893133637218,0.3235294117647059
insertions_source,5.0,6.0,7.0,8.0,,,,7.0,7.0,8.0
code_churn_source,8.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0
num_file_types_source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_directory_files_source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
project_changes_count_source,519.0,558.0,541.0,565.0,567.0,,589.0,669.0,724.0,773.0
cross_project_changes_source,13.0,21.0,25.0,30.0,33.0,39.0,38.0,44.0,50.0,57.0
pctg_cross_project_changes_source,0.4,0.3801408450704225,0.3813953488372093,0.3768115942028985,0.3803827751196172,0.3888888888888889,0.3853754940711462,0.384,0.3771684387241186,0.3758278145695364
project_age_source,628.5234722222223,646.1393171296296,676.8858101851852,712.9478993055556,758.4775578703704,821.5523148148148,830.6113252314815,870.3881597222222,946.1825462962964,1008.6368171296295
hist_dep_proj_nbr_source,18.0,21.0,23.0,25.0,28.0,30.0,31.0,34.0,37.0,39.0
last_six_mth_dep_proj_nbr_source,10.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0
num_file_changes_source,18.0,19.0,19.0,21.0,20.0,20.0,19.0,20.0,21.0,23.0
num_recent_branch_files_changes_source,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
subject_length_source,37.0,38.0,38.0,39.0,38.0,38.0,39.0,39.0,39.0,39.0
description_word_count_source,37.0,37.0,38.0,39.0,38.0,37.0,38.0,39.0,39.0,39.0
is_non_functional_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_feature_addition_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_corrective_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_merge_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_preventive_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_refactoring_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_dev,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cmn_dev_pctg,0.0526315789473684,0.0512820512820512,0.056584715075281,0.0601822212737705,0.0618556701030927,0.0641573994867408,0.0666666666666666,0.0697674418604651,0.0714285714285714,0.0742988053123806
dev_in_src_change_nbr,0.0,,,,,,,,,
rev_in_src_change_nbr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
src_trgt_co_changed_nbr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desc_sim,0.4895843863487243,0.4569329619407654,0.4551944732666015,0.4388380646705627,0.4391210973262787,0.4363408088684082,0.4360001385211944,0.4279266893863678,0.416249930858612,0.4166367948055267
add_lines_sim,0.4524655938148498,0.4393242746591568,0.4540469646453857,0.4544875174760818,0.4432593584060669,0.3965594470500946,0.4179718196392059,0.4172088950872421,0.4175289124250412,0.4199835807085037
del_lines_sim,0.2315753474831581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whole_changes_deps_target,,55.0,,,,,,,,
description_word_count_target,,39.0,39.0,39.0,39.0,37.0,39.0,39.0,39.0,40.0
whole_changes_deps_source,,55.0,,,,,,,,
projects_contributed_owner_target,,,27.0,30.0,33.0,34.0,37.0,37.0,38.0,38.0
projects_contributed_owner_source,,,28.0,32.0,35.0,36.0,38.0,38.0,39.0,40.0
deletions_target,,,,2.0,,,,,,
last_six_mth_mod_uniq_proj_nbr_target,,,,521.0,,643.0,604.0,627.0,669.0,686.0
last_mth_mod_uniq_proj_nbr_target,,,,,411.0,419.0,433.0,447.0,451.0,452.0
num_shrd_file_tkns,,,,,0.0,0.0,0.0,0.0,0.0,0.0
projects_changes_deps_target,,,,,,2.0,,3.0,3.0,4.0
projects_changes_deps_source,,,,,,2.0,,3.0,3.0,
within_project_changes_source,,,,,,48.0,,,,
last_mth_dep_proj_nbr_target,,,,,,,2.5,3.0,2.0,3.0
last_mth_cro_proj_nbr_target,,,,,,,,3.0,3.0,3.0
last_mth_cro_proj_nbr_source,,,,,,,,3.0,3.0,3.0
last_mth_dep_proj_nbr_source,,,,,,,,3.0,3.0,3.0
